Algoritmo,Tamanho,Tempo,Tipo
BubbleSort,1000,0.02,Crescente
BubbleSort,1000,0.04,Decrescente
BubbleSort,1000,0.03,Aleatorio
BubbleSort,2000,0.07,Crescente
BubbleSort,2000,0.13,Decrescente
BubbleSort,2000,0.12,Aleatorio
BubbleSort,3000,0.13,Crescente
BubbleSort,3000,0.29,Decrescente
BubbleSort,3000,0.24,Aleatorio
BubbleSort,4000,0.23,Crescente
BubbleSort,4000,0.55,Decrescente
BubbleSort,4000,0.46,Aleatorio
BubbleSort,5000,0.40,Crescente
BubbleSort,5000,0.82,Decrescente
BubbleSort,5000,0.73,Aleatorio
BubbleSort,6000,0.58,Crescente
BubbleSort,6000,1.38,Decrescente
BubbleSort,6000,0.96,Aleatorio
BubbleSort,7000,0.72,Crescente
BubbleSort,7000,1.56,Decrescente
BubbleSort,7000,1.30,Aleatorio
BubbleSort,8000,0.95,Crescente
BubbleSort,8000,2.03,Decrescente
BubbleSort,8000,1.67,Aleatorio
BubbleSort,9000,1.19,Crescente
BubbleSort,9000,2.55,Decrescente
BubbleSort,9000,2.14,Aleatorio
BubbleSort,10000,1.45,Crescente
BubbleSort,10000,3.25,Decrescente
BubbleSort,10000,2.81,Aleatorio
BubbleSort,20000,9.74,Crescente
BubbleSort,20000,30.17,Decrescente
BubbleSort,20000,12.09,Aleatorio
BubbleSort,30000,14.58,Crescente
BubbleSort,30000,39.03,Decrescente
BubbleSort,30000,29.31,Aleatorio
BubbleSort,40000,26.83,Crescente
BubbleSort,40000,59.04,Decrescente
BubbleSort,40000,49.09,Aleatorio
BubbleSort,50000,40.47,Crescente
BubbleSort,50000,98.45,Decrescente
BubbleSort,50000,106.23,Aleatorio
FlaggedBubbleSort,1000,0.00,Crescente
FlaggedBubbleSort,1000,0.03,Decrescente
FlaggedBubbleSort,1000,0.04,Aleatorio
FlaggedBubbleSort,2000,0.00,Crescente
FlaggedBubbleSort,2000,0.16,Decrescente
FlaggedBubbleSort,2000,0.12,Aleatorio
FlaggedBubbleSort,3000,0.00,Crescente
FlaggedBubbleSort,3000,0.36,Decrescente
FlaggedBubbleSort,3000,0.27,Aleatorio
FlaggedBubbleSort,4000,0.00,Crescente
FlaggedBubbleSort,4000,0.61,Decrescente
FlaggedBubbleSort,4000,0.56,Aleatorio
FlaggedBubbleSort,5000,0.00,Crescente
FlaggedBubbleSort,5000,0.92,Decrescente
FlaggedBubbleSort,5000,0.83,Aleatorio
FlaggedBubbleSort,6000,0.00,Crescente
FlaggedBubbleSort,6000,1.50,Decrescente
FlaggedBubbleSort,6000,1.11,Aleatorio
FlaggedBubbleSort,7000,0.00,Crescente
FlaggedBubbleSort,7000,1.82,Decrescente
FlaggedBubbleSort,7000,1.56,Aleatorio
FlaggedBubbleSort,8000,0.00,Crescente
FlaggedBubbleSort,8000,2.46,Decrescente
FlaggedBubbleSort,8000,1.85,Aleatorio
FlaggedBubbleSort,9000,0.00,Crescente
FlaggedBubbleSort,9000,2.87,Decrescente
FlaggedBubbleSort,9000,2.41,Aleatorio
FlaggedBubbleSort,10000,0.00,Crescente
FlaggedBubbleSort,10000,3.53,Decrescente
FlaggedBubbleSort,10000,2.95,Aleatorio
FlaggedBubbleSort,20000,0.00,Crescente
FlaggedBubbleSort,20000,14.33,Decrescente
FlaggedBubbleSort,20000,11.66,Aleatorio
FlaggedBubbleSort,30000,0.00,Crescente
FlaggedBubbleSort,30000,37.65,Decrescente
FlaggedBubbleSort,30000,27.36,Aleatorio
FlaggedBubbleSort,40000,0.00,Crescente
FlaggedBubbleSort,40000,58.50,Decrescente
FlaggedBubbleSort,40000,49.99,Aleatorio
FlaggedBubbleSort,50000,0.00,Crescente
FlaggedBubbleSort,50000,113.05,Decrescente
FlaggedBubbleSort,50000,82.55,Aleatorio
HeapSort,1000,0.00,Crescente
HeapSort,1000,0.00,Decrescente
HeapSort,1000,0.00,Aleatorio
HeapSort,2000,0.00,Crescente
HeapSort,2000,0.00,Decrescente
HeapSort,2000,0.00,Aleatorio
HeapSort,3000,0.01,Crescente
HeapSort,3000,0.01,Decrescente
HeapSort,3000,0.01,Aleatorio
HeapSort,4000,0.02,Crescente
HeapSort,4000,0.01,Decrescente
HeapSort,4000,0.01,Aleatorio
HeapSort,5000,0.01,Crescente
HeapSort,5000,0.01,Decrescente
HeapSort,5000,0.01,Aleatorio
HeapSort,6000,0.01,Crescente
HeapSort,6000,0.01,Decrescente
HeapSort,6000,0.02,Aleatorio
HeapSort,7000,0.02,Crescente
HeapSort,7000,0.02,Decrescente
HeapSort,7000,0.02,Aleatorio
HeapSort,8000,0.02,Crescente
HeapSort,8000,0.02,Decrescente
HeapSort,8000,0.02,Aleatorio
HeapSort,9000,0.02,Crescente
HeapSort,9000,0.02,Decrescente
HeapSort,9000,0.02,Aleatorio
HeapSort,10000,0.02,Crescente
HeapSort,10000,0.03,Decrescente
HeapSort,10000,0.03,Aleatorio
HeapSort,20000,0.05,Crescente
HeapSort,20000,0.05,Decrescente
HeapSort,20000,0.04,Aleatorio
HeapSort,30000,0.07,Crescente
HeapSort,30000,0.06,Decrescente
HeapSort,30000,0.07,Aleatorio
HeapSort,40000,0.10,Crescente
HeapSort,40000,0.11,Decrescente
HeapSort,40000,0.10,Aleatorio
HeapSort,50000,0.14,Crescente
HeapSort,50000,0.11,Decrescente
HeapSort,50000,0.15,Aleatorio
InsertionSort,1000,0.02,Crescente
InsertionSort,1000,0.02,Decrescente
InsertionSort,1000,0.02,Aleatorio
InsertionSort,2000,0.10,Crescente
InsertionSort,2000,0.08,Decrescente
InsertionSort,2000,0.07,Aleatorio
InsertionSort,3000,0.15,Crescente
InsertionSort,3000,0.17,Decrescente
InsertionSort,3000,0.15,Aleatorio
InsertionSort,4000,0.26,Crescente
InsertionSort,4000,0.31,Decrescente
InsertionSort,4000,0.29,Aleatorio
InsertionSort,5000,0.39,Crescente
InsertionSort,5000,0.48,Decrescente
